Temp,Hum,Lght,H2O,Co2,Hrat,Occ
20.5,19.745,250,497,431.5,0.002937477,0
20.5,19.65,251,330,436.5,0.002923278,0
20.5,19.7,252,350,437,0.002930751,0
20.6,19.6,253,495,435,0.00293393,0
20.5,19.745,254,427,437,0.002937477,0
20.6,19.6,255,394,433,0.00293393,0
20.5,19.65,256,482,431.5,0.002923278,0
20.5,19.65,257,304,432,0.002923278,0
20.55,19.65,258,486,429,0.002932352,0
20.55,19.6,259,313,430,0.002924855,0
20.5,19.6,260,416,430.5,0.002915804,0
20.55,19.6,290,422,433,0.002924855,0
20.6,19.6,290,396,436,0.00293393,0
20.6,19.53,290,355,435,0.002923403,0
20.6,19.445,290,429,434,0.00291062,0
20.5,19.55,290,500,434,0.002908331,0
20.5,19.6,290,377,435,0.002915804,0
20.6,19.6,290,464,438,0.00293393,0
20.6,19.5,290,302,440,0.002918891,0
20.56666667,19.53333333,290,340,436.6666667,0.002917872,0
20.56666667,19.5,290,439,437.6666667,0.002912869,0
20.56666667,19.5,290,379,437,0.002912869,0
20.6,19.5,290,329,433,0.002918891,0
20.6,19.445,290,301,435.5,0.00291062,0
20.6,19.5,290,428,435,0.002918891,0
20.6,19.5,290,496,437,0.002918891,0
20.6,19.34,290,315,436,0.00289483,0
20.5,19.34,290,301,438,0.002876947,0
20.6,19.5,290,375,440,0.002918891,0
20.55,19.445,290,304,438.5,0.002901617,0
20.55,19.39,290,411,436,0.002893372,0
20.6,19.34,300,457,433,0.00289483,0
20.5,19.39,301,371,432.5,0.002884419,0
20.5,19.39,302,434,434.5,0.002884419,0
20.55,19.29,303,449,433.5,0.00287838,0
20.6,19.39,304,394,433.5,0.002902349,0
20.6,19.295,305,490,434.5,0.002888063,0
20.6,19.29,306,365,434,0.002887311,0
20.6,19.29,307,425,435,0.002887311,0
20.5,19.34,308,438,431,0.002876947,0
20.5,19.29,309,385,431.5,0.002869474,0
20.46333333,19.22666667,310,475,432.6666667,0.002853516,0
20.5,19.39,311,399,436,0.002884419,0
20.5,19.39,60,571,436,0.002884419,2
20.5,19.245,60,561,441.5,0.00286275,2
20.5,19.2,60,523,434,0.002856025,2
20.39,19.29,60,535,433.5,0.002849966,2
20.42666667,19.29,60,547,429.3333333,0.002856456,2
20.5,19.29,60,553,434.5,0.002869474,2
20.5,19.2,60,514,433.5,0.002856025,2
20.5,19.15,60,550,435.5,0.002848553,2
20.445,19.05,60,558,435,0.002823965,2
20.39,19.16666667,60,541,434,0.002831662,2
20.39,19.245,60,558,430.5,0.002843287,2
20.39,19.2,60,552,426,0.002836609,2
20.5,19.2,290,486,429,0.002856025,0
20.5,19.2,290,498,435.5,0.002856025,0
20.5,19.2,290,325,433.5,0.002856025,0
20.5,19.2,290,483,427.5,0.002856025,0
20.53333333,19.16666667,290,390,429.6666667,0.00285694,0
20.525,19.175,290,422,433,0.002856712,0
20.5,19.1,290,494,432.5,0.002841082,0
20.5,19.1,290,495,431,0.002841082,0
20.53333333,19.1,290,355,433.3333333,0.002846958,0
20.5,19.1,290,428,433,0.002841082,0
20.5,19.1,290,349,434,0.002841082,0
20.5,19.1,290,393,437,0.002841082,0
20.5,19.1,290,362,437,0.002841082,0
20.5,19.1,290,382,439,0.002841082,0
20.53333333,18.96333333,290,478,432.3333333,0.002826494,0
20.525,19.075,290,316,432,0.002841746,0
20.5,19.05,290,363,429.5,0.002833611,0
20.5,19.1,290,496,436.5,0.002841082,0
20.53333333,19,290,387,432.6666667,0.002831984,0
20.55,19,290,358,430,0.002834911,0
20.5,18.945,290,332,425,0.002817922,0
20.55,19,290,329,425.5,0.002834911,0
20.55,19,290,397,434,0.002834911,0
20.5,19,290,337,433,0.00282614,0
20.5,19,290,387,433,0.00282614,0
20.6,18.96333333,290,326,433.5,0.002838193,0
20.5,19,290,315,426,0.00282614,0
20.53333333,18.96333333,290,377,426.3333333,0.002826494,0
20.53333333,18.92666667,290,462,430,0.002821004,0
20.6,18.945,290,351,436,0.002835436,0
20.6,19,290,491,437.5,0.002843706,0
20.5,19,290,454,433.5,0.00282614,0
20.55,18.945,290,442,432.5,0.002826667,0
20.55,18.945,290,462,430,0.002826667,0
20.5,19,290,300,433,0.00282614,0
20.6,19,290,468,439,0.002843706,0
20.5,18.89,290,306,429.5,0.002809704,0
20.55,19,290,398,431,0.002834911,0
20.6,19,290,398,433,0.002843706,0
20.55,19,290,462,434,0.002834911,0
20.55,18.89,290,397,434.5,0.002818424,0
20.5,18.945,290,340,435.5,0.002817922,0
20.5,18.84,290,414,434.5,0.002802233,0
20.5,18.89,290,333,433.5,0.002809704,0
20.5,19,290,337,433,0.00282614,0
20.5,19,290,430,433.5,0.00282614,0
20.5,19,290,485,434.5,0.00282614,0
20.5,19,290,387,438,0.00282614,0
20.5,18.945,290,477,437,0.002817922,0
20.445,18.945,290,465,435,0.002808329,0
20.5,19,290,376,434,0.00282614,0
20.5,18.895,290,394,434.5,0.002810451,0
20.5,18.89,290,439,431,0.002809704,0
20.5,19,290,361,433.5,0.00282614,0
20.42666667,18.89,290,322,431.6666667,0.002796958,0
20.39,18.82333333,290,355,428.6666667,0.002780711,0
20.39,18.79,290,374,429.5,0.002775765,0
20.39,18.92666667,290,454,434.3333333,0.002796045,0
20.39,18.84,290,431,430,0.002783184,0
20.39,18.7,290,385,430,0.002762411,0
20.39,18.89,290,486,424,0.002790604,0
20.39,18.92666667,290,405,427.3333333,0.002796045,0
20.39,18.82333333,290,384,430,0.002780711,0
20.39,18.79,290,438,431,0.002775765,0
20.39,18.79,290,364,433.5,0.002775765,0
20.445,18.79,290,321,430,0.00278525,0
20.445,18.79,290,449,434,0.00278525,0
20.5,18.79,290,428,434,0.002794763,0
20.5,18.79,290,396,435.5,0.002794763,0
20.5,18.79,290,359,436.3333333,0.002794763,0
20.5,18.745,290,442,434.5,0.00278804,0
20.5,18.745,290,429,434,0.00278804,0
20.5,18.7,290,468,434,0.002781317,0
20.5,18.79,290,482,435,0.002794763,0
20.5,18.79,290,404,430.5,0.002794763,0
20.5,18.7,290,454,436,0.002781317,0
20.39,18.66666667,290,354,431.6666667,0.002757465,0
20.39,18.76,290,319,428.6666667,0.002771313,0
20.39,18.7675,290,442,431,0.002772426,0
20.39,18.7225,290,365,434.5,0.002765749,0
20.39,18.7,290,390,434.5,0.002762411,0
20.39,18.7,290,355,429.5,0.002762411,0
20.39,18.745,290,451,432,0.002769088,0
20.39,18.7,290,372,435.5,0.002762411,0
20.39,18.6,247,381,436,0.002747573,0
20.39,18.745,248,446,430,0.002769088,0
20.39,18.76,249,345,434,0.002771313,0
20.39,18.745,250,449,435,0.002769088,0
20.39,18.7,251,480,434.5,0.002762411,0
20.39,18.7,252,469,427.5,0.002762411,0
20.39,18.7,253,357,433.3333333,0.002762411,0
20.5,18.745,254,487,433,0.00278804,0
20.39,18.7,255,432,438,0.002762411,0
20.445,18.7,256,300,434,0.00277185,0
20.46333333,18.73,257,397,432.6666667,0.002779474,0
20.5,18.7,258,482,435,0.002781317,0
20.445,18.7,259,375,433.5,0.00277185,0
20.39,18.6,260,473,432,0.002747573,0
20.39,18.7,261,445,434,0.002762411,0
20.39,18.7,262,354,439,0.002762411,0
20.39,18.7,263,433,434,0.002762411,0
20.445,18.7,264,403,430,0.00277185,0
20.445,18.7,265,486,435,0.00277185,0
20.5,18.7,266,395,437.5,0.002781317,0
20.5,18.7,267,324,434,0.002781317,0
20.445,18.7,268,336,436,0.00277185,0
20.445,18.7,269,354,432.5,0.00277185,0
20.46333333,18.7,270,312,429.5,0.002775002,0
20.39,18.7,271,337,430,0.002762411,0
20.5,18.7,272,409,436,0.002781317,0
20.5,18.745,273,363,436.5,0.00278804,0
20.46333333,18.66666667,274,484,439.3333333,0.002770034,0
20.39,18.6,275,322,435,0.002747573,0
20.39,18.6,276,318,432,0.002747573,0
20.39,18.65,277,349,431,0.002754992,0
20.39,18.7,278,425,425.5,0.002762411,0
20.39,18.7,279,412,429,0.002762411,0
20.39,18.7,280,404,431.5,0.002762411,0
20.39,18.6,281,432,435,0.002747573,0
20.39,18.7,282,498,428,0.002762411,0
20.39,18.7,283,307,431.5,0.002762411,0
20.39,18.7,284,334,432.5,0.002762411,0
20.445,18.7,285,479,434.5,0.00277185,0
20.39,18.7,286,455,429,0.002762411,0
20.39,18.66666667,287,437,428.6666667,0.002757465,0
20.39,18.7,288,382,432,0.002762411,0
20.39,18.7,289,395,430,0.002762411,0
20.39,18.7,112,599,431,0.002762411,2
20.445,18.6,113,563,431.5,0.002756961,2
20.39,18.7,114,589,433,0.002762411,2
20.39,18.7,115,565,437.5,0.002762411,2
20.39,18.7,116,597,434,0.002762411,2
20.39,18.7,117,501,432,0.002762411,2
20.39,18.65,118,513,433,0.002754992,2
20.39,18.7,119,591,425.5,0.002762411,2
20.39,18.7,120,567,423,0.002762411,2
20.39,18.66666667,121,513,430,0.002757465,2
20.39,18.6,122,536,434,0.002747573,2
20.35666667,18.6,123,520,428.6666667,0.002741897,2
20.29,18.65,124,513,427,0.002737949,2
20.34,18.7,125,562,425.5,0.002753854,2
20.34,18.7,126,536,433.5,0.002753854,2
20.34,18.7,127,571,434.5,0.002753854,2
20.39,18.7,128,589,427,0.002762411,2
20.39,18.65,129,557,433,0.002754992,2
20.34,18.65,130,535,433.5,0.002746459,2
20.35666667,18.66666667,131,550,432.6666667,0.002751768,2
20.39,18.7,132,579,430,0.002762411,2
20.34,18.7,133,510,430.5,0.002753854,2
20.39,18.7,134,589,431,0.002762411,2
20.39,18.65,135,537,431.3333333,0.002754992,2
20.39,18.7,136,585,433,0.002762411,2
20.39,18.7,137,536,432,0.002762411,2
20.39,18.7,138,577,430,0.002762411,2
20.34,18.7,139,508,431.5,0.002753854,2
20.39,18.7,140,571,430.3333333,0.002762411,2
20.39,18.7,141,544,429,0.002762411,2
20.35666667,18.66666667,142,570,432.6666667,0.002751768,2
20.34,18.6,143,563,431.5,0.002739063,2
20.29,18.745,144,594,428,0.002751957,2
20.29,18.745,145,519,425.5,0.002751957,2
20.29,18.745,146,591,430.5,0.002751957,2
20.29,18.79,147,542,432,0.002758593,2
20.29,18.7,148,522,433,0.002745321,2
20.29,18.745,149,558,435.5,0.002751957,2
20.29,18.79,150,501,431.5,0.002758593,2
20.29,18.7675,151,562,432.75,0.002755275,2
20.29,18.7,152,573,437,0.002745321,2
20.29,18.7,153,501,433.5,0.002745321,2
20.29,18.7,154,556,434,0.002745321,2
20.245,18.695,155,523,438.5,0.002736927,2
20.29,18.79,156,562,436.5,0.002758593,2
20.29,18.79,157,549,437,0.002758593,2
20.29,18.79,158,543,436,0.002758593,2
20.29,18.79,159,542,441,0.002758593,2
20.29,18.79,160,520,440,0.002758593,2
20.29,18.745,161,577,437,0.002751957,2
20.29,18.79,162,582,438.5,0.002758593,2
20.29,18.84,163,532,433,0.002765966,2
20.245,18.795,164,591,434,0.002751631,2
20.29,18.76,165,557,437,0.002754169,2
20.29,18.79,166,525,435,0.002758593,2
20.29,18.79,167,541,434,0.002758593,2
20.29,18.79,168,530,437,0.002758593,2
20.29,18.745,169,516,434.5,0.002751957,2
20.29,18.745,170,523,439,0.002751957,2
20.29,18.79,171,577,433,0.002758593,2
20.29,18.7,172,537,434,0.002745321,2
20.245,18.745,200,464,433,0.002744279,0
20.245,18.745,201,335,432.5,0.002744279,0
20.245,18.745,202,455,433,0.002744279,0
20.2,18.745,203,405,433,0.002736619,0
20.245,18.84,204,363,432,0.002758249,0
20.2,18.79,205,472,434,0.002743218,0
20.29,18.79,206,467,433,0.002758593,0
20.245,18.745,207,403,430.5,0.002744279,0
20.29,18.79,208,419,433,0.002758593,0
20.29,18.745,209,322,434,0.002751957,0
20.29,18.84,210,453,430,0.002765966,0
20.29,18.79,211,479,431.3333333,0.002758593,0
20.29,18.7,212,407,439,0.002745321,0
20.29,18.79,213,468,439,0.002758593,0
20.29,18.73,214,342,442,0.002749745,0
20.2,18.7,215,444,432,0.002730021,0
20.23,18.73,216,450,427.5,0.00273952,0
20.29,18.745,217,317,433,0.002751957,0
20.29,18.6,196,518,437,0.002730576,2
20.29,18.7,196,577,432,0.002745321,2
20.2,18.7,196,502,426,0.002730021,2
20.29,18.7,196,521,431,0.002745321,2
20.29,18.7,196,556,433.3333333,0.002745321,2
20.29,18.675,196,534,429.25,0.002741635,2
20.26,18.63333333,196,509,433.3333333,0.002730401,2
20.245,18.65,196,569,430.5,0.00273031,2
20.29,18.7,196,559,430,0.002745321,2
20.29,18.7,196,573,433.5,0.002745321,2
20.29,18.6,196,500,432.5,0.002730576,2
20.29,18.7,196,550,432,0.002745321,2
20.29,18.7,196,540,434,0.002745321,2
20.29,18.6,196,510,429,0.002730576,2
20.29,18.65,196,598,438,0.002737949,2
20.29,18.7,196,519,439,0.002745321,2
20.29,18.7,196,596,433,0.002745321,2
20.29,18.65,196,503,433.5,0.002737949,2
20.29,18.6,196,529,431,0.002730576,2
20.32333333,18.56666667,196,531,432.6666667,0.002731306,2
20.39,18.6,196,545,434,0.002747573,2
20.39,18.6,196,550,434,0.002747573,2
20.39,18.6,196,558,436.5,0.002747573,2
20.39,18.6,97,569,432.6666667,0.002747573,2
20.39,18.6,98,550,429.75,0.002747573,2
20.39,18.5,99,526,428.5,0.002732736,2
20.39,18.6,100,516,434,0.002747573,2
20.29,18.6,101,581,435.5,0.002730576,2
20.29,18.39,102,547,432,0.002699613,2
20.245,18.6,103,557,433,0.002722958,2
20.29,18.7,104,509,434,0.002745321,2
20.29,18.65,105,576,433.5,0.002737949,2
20.2,18.6,106,528,432,0.002715358,2
20.2,18.6,107,545,431,0.002715358,2
20.2,18.6,108,597,435,0.002715358,2
20.2,18.6,109,559,438,0.002715358,2
20.2,18.6,110,553,432,0.002715358,2
20.1,18.6,111,513,430,0.002698537,2
20.2,18.6,112,588,428.5,0.002715358,2
20.2,18.6,113,502,432.6666667,0.002715358,2
20.2,18.6,114,571,432,0.002715358,2
20.2,18.6,115,546,430,0.002715358,2
20.2,18.6,116,553,431.3333333,0.002715358,2
20.2,18.6,117,585,432.6666667,0.002715358,2
20.2,18.6,118,502,434,0.002715358,2
20.2,18.6,235,410,429,0.002715358,0
20.2,18.6,235,362,429,0.002715358,0
20.2,18.6,235,355,433,0.002715358,0
20.2,18.6,235,313,436,0.002715358,0
20.2,18.6,235,413,440,0.002715358,0
20.2,18.6,235,432,436,0.002715358,0
20.2,18.6,235,454,435,0.002715358,0
20.2,18.56666667,235,420,430,0.002710471,0
20.2,18.6,235,484,425.5,0.002715358,0
20.2,18.6,235,425,432,0.002715358,0
20.245,18.6,235,455,439.5,0.002722958,0
20.29,18.6,235,486,434,0.002730576,0
20.29,18.5,235,437,442,0.002715832,0
20.29,18.5,235,496,439,0.002715832,0
20.29,18.56666667,235,399,436.6666667,0.002725661,0
20.29,18.5,235,353,439,0.002715832,0
20.29,18.5,235,391,436,0.002715832,0
20.29,18.5,235,491,435,0.002715832,0
20.29,18.55,235,450,439,0.002723204,0
20.29,18.5,235,370,433,0.002715832,0
20.29,18.5,235,303,435,0.002715832,0
20.29,18.5,235,454,436,0.002715832,0
20.245,18.5,235,496,438,0.002708254,0
20.245,18.55,235,495,439,0.002715606,0
20.2,18.5,235,446,436.5,0.002700696,0
20.2,18.5,235,437,432.6666667,0.002700696,0
20.2,18.5,235,411,427.5,0.002700696,0
20.2,18.5,235,419,427,0.002700696,0
20.245,18.55,235,468,432,0.002715606,0
20.245,18.55,235,355,438,0.002715606,0
20.2,18.5,235,496,436,0.002700696,0
20.2,18.5,235,341,434,0.002700696,0
20.2,18.6,235,365,435,0.002715358,0
20.2,18.6,235,424,435,0.002715358,0
20.2,18.6,260.3333333,424,434,0.002715358,0
20.175,18.6,433,304,437.5,0.002711144,0
20.175,18.675,422.5,436,440.75,0.002722124,0
20.2,18.7,419,488,442,0.002730021,0
20.175,18.7,419,329,448.5,0.002725784,0
20.1,18.745,419,372,451,0.002719666,0
20.13333333,18.7,409,322,458.6666667,0.002718736,0
20.175,18.7225,411,408,456,0.002729078,0
20.85666667,19.79333333,433,93,648,0.003010454,1
20.89,19.79,433,136,655,0.003016154,1
20.9175,19.79,433,103,650.5,0.003021285,1
20.92666667,19.79,433,67,643.6666667,0.003022998,1
20.9175,19.79,433,120,642,0.003021285,1
20.96333333,19.79,433,85,639.3333333,0.003029855,1
20.89,19.79,436.5,117,648,0.003016154,1
20.89,19.815,426,124,649,0.003019983,1
20.89,19.79,433,63,654,0.003016154,1
20.89,19.92666667,433,126,660,0.003037085,1
20.89,20.13333333,442.3333333,88,677.3333333,0.003068739,1
20.89,20.354,435.8,124,698.2,0.003102541,1
20.89,20.4725,447,66,709.25,0.003120694,1
20.92666667,20.39,442.3333333,81,712,0.003115109,1
20.945,20.5,443.5,149,710,0.00313555,1
20.945,20.445,447,72,708,0.003127095,1
20.945,20.55,447,102,707.5,0.003143236,1
20.945,20.6975,447,130,725.75,0.003165912,1
20.9725,20.7675,438,58,733.25,0.003182078,1
21,20.79,441,148,735.3333333,0.00319096,1
21,20.815,438,124,740.75,0.003194817,1
21,20.865,438,81,744.25,0.003202531,1
21,20.79,438,132,757,0.00319096,1
21,20.79,440,83,759,0.00319096,1
21,20.815,437.25,67,752.25,0.003194817,1
21,20.865,438,122,754.5,0.003202531,1
21.025,20.945,440.25,137,758.5,0.003219843,1
21.05,21,436.5,105,764,0.003233331,1
21.05,21.05,441,96,765.25,0.003241069,1
21.1,21.15,436.5,150,769.75,0.003266618,1
21.1,21.245,444,56,780.25,0.003281368,1
21.1,21.29,444,105,786,0.003288355,1
21.1,21.2225,444,82,783.25,0.003277875,1
21.1,21.2675,444,59,787,0.003284862,1
21.1,21.2,444,86,787.6666667,0.003274381,1
21.1,21.2,448,68,786.75,0.003274381,1
21.1,21.2,444,90,782.5,0.003274381,1
21.1,21.1,454.75,63,779.75,0.003258855,1
21.1,21.05,454.75,69,777.5,0.003251092,1
21.1,21.1,460,134,779.3333333,0.003258855,1
21.175,21.075,449.5,137,782.75,0.003270077,1
21.15,21.05,449.5,104,787.5,0.003261142,1
21.2,21.075,454.75,136,777,0.003275125,1
21.2,21.06666667,449.3333333,90,789.6666667,0.003273823,1
21.175,21.075,460,55,805.25,0.003270077,1
21.2,20.9975,456,109,801.25,0.003263018,1
21.2,21,460,109,796,0.003263409,1
21.2225,21.025,449.5,123,793.25,0.003271853,1
21.29,20.96333333,453,145,788.3333333,0.003275814,1
21.2675,21,460,96,794.5,0.003277024,1
21.29,21,460,80,797.5,0.003281574,1
21.32333333,21.03333333,460,127,810,0.003293571,1
21.29,21,450.75,98,812.5,0.003281574,1
21.29,21.03333333,454.6666667,65,813.6666667,0.00328681,1
21.315,20.9725,444,56,809.25,0.003282309,1
21.29,21,444,83,812.3333333,0.003281574,1
21.29,21.03333333,454.6666667,98,807.6666667,0.00328681,1
21.315,21,460,91,810.5,0.003286635,1
21.34,21,452,146,811.5,0.003291704,1
21.325,20.978,456,93,808,0.003285198,1
21.31,20.956,460,98,804.5,0.003278702,1
21.32333333,20.86,460,132,797.3333333,0.003266287,1
21.35666667,20.92666667,460,141,796.3333333,0.003283519,1
21.39,20.865,449.5,124,798.5,0.003280523,1
21.39,20.79,460,129,796,0.003268669,1
21.34,20.995,449.5,71,801.25,0.003290916,1
21.34,21.1,449.5,100,811,0.003307462,1
21.29,21.245,460,114,821.5,0.003320063,1
21.34,21.2675,455.5,144,830.25,0.003333858,1
21.29,21.29,457,88,835,0.003327133,1
21.34,21.2,449.5,112,831,0.003323221,1
21.315,21.29,454.75,137,834.75,0.003332265,1
21.29,21.29,460,128,837,0.003327133,1
21.315,21.29,460,92,841,0.003332265,1
21.315,21.2675,460,95,844.5,0.003328725,1
21.39,21.34,460,121,847,0.003355608,1
21.39,21.2675,454.75,106,842.5,0.003344147,1
21.39,21.2,453,90,841,0.003333476,1
21.39,21.2475,449.5,145,839.5,0.003340985,1
21.365,21.3175,454.75,144,844.5,0.003346891,1
21.39,21.2,457,150,847,0.003333476,1
21.39,21.2675,454,54,847.75,0.003344147,1
21.32333333,21.23,464,65,843.3333333,0.003324531,1
21.365,21.315,461.5,145,847.25,0.003346497,1
21.39,21.34,449.5,103,848.5,0.003355608,1
21.34,21.445,449.5,54,848.5,0.003361833,1
21.39,21.39,454,106,854.25,0.003363513,1
21.34,21.1475,455.5,51,848.25,0.003314947,1
21.35666667,21.2,468,57,844.3333333,0.003326636,1
21.29,21.2,454,82,836.5,0.003312993,1
21.32333333,21.2,454,116,838,0.003319808,1
21.315,21.125,469,119,841.5,0.003306302,1
21.34,21,469,93,832,0.003291704,1
21.315,20.865,469,102,825,0.003265396,1
21.315,20.9175,465.25,64,824,0.003273655,1
21.29,21.175,475.25,125,826.75,0.003309066,1
21.29,21.1,464,54,824,0.003297283,1
21.29,21.2,459,115,827.5,0.003312993,1
21.29,21.236,468.2,104,843.5,0.003318649,1
21.365,21.17,474,123,845.6,0.00332361,1
21.39,20.79,492.3333333,138,837.3333333,0.003268669,1
21.32333333,21.06666667,474,148,825.6666667,0.003298818,1
21.39,20.97,480.25,55,831.75,0.003297119,1
21.4725,21.0475,504,124,832.25,0.003326228,1
21.5,21.1,539.5,106,843,0.00334022,1
21.5,20.725,509,73,839,0.003280543,1
21.5,20.84,528.5,107,832.5,0.003298842,1
21.6,21.0225,499,108,840,0.003348428,1
21.65,20.9175,497.75,68,850,0.003341874,1
21.675,21.1,500.25,121,853.75,0.003376376,1
21.7,21,489,131,852,0.003365456,1
21.7,20.9725,490.25,70,856.25,0.003361025,1
21.7,20.945,494,149,854.5,0.003356594,1
21.7,20.89,485.6666667,140,854,0.003347732,1
21.7,20.815,481.5,105,850.75,0.003335649,1
21.7,20.8925,484,78,844.5,0.003348135,1
21.7,21.075,482.75,71,850.75,0.00337754,1
21.73,20.89,477.3333333,85,861,0.003353911,1
21.73,20.93,477.3333333,124,865,0.003360367,1
21.7675,20.795,485.25,149,860.75,0.003346278,1
21.754,20.896,485.25,110,853.25,0.00335983,1
21.73,20.7,482.75,98,849.75,0.003323243,1
21.79,20.945,464,117,844.5,0.003375208,1
21.7225,20.87,479,114,846.75,0.003349138,1
21.745,20.7225,476.75,130,852.5,0.003329942,1
21.7,20.79,476,118,851,0.003331621,1
21.7,20.7675,480,133,854.75,0.003327996,1
21.73,20.73,479,105,852.6666667,0.003328085,1
21.7225,20.7,479,71,848.25,0.003321712,1
21.7225,20.7,485.25,113,848,0.003321712,1
21.7,20.6,489,59,846,0.003301012,1
21.7,20.745,489,147,844.5,0.003324371,1
21.7675,20.7925,471.5,94,846.75,0.003345873,1
21.76,20.73,471,105,849,0.003334225,1
21.79,20.55,487.75,135,837,0.003311217,1
21.79,20.5,467.6666667,88,830.3333333,0.003303117,1
21.79,20.65,469.25,141,829.5,0.003327416,1
21.73,20.56666667,462.3333333,129,830.6666667,0.003301723,1
21.79,20.6,462.75,92,834.25,0.003319316,1
21.79,20.6225,462.75,118,833.5,0.003322961,1
21.79,20.5,472.3333333,114,827.6666667,0.003303117,1
21.79,20.678,485,117,821.25,0.003331952,1
21.745,20.5,479,79,822.3333333,0.003293999,1
21.745,20.6,471.5,137,821.75,0.003310153,1
21.7,20.66666667,464,50,826,0.003311751,1
21.7225,20.65,475.25,76,829.5,0.003313645,1
21.7,20.6,479,93,832,0.003301012,1
21.7,20.6,464,146,823,0.003301012,1
21.7,20.6,469,55,824,0.003301012,1
21.7,20.6,467.75,80,825.25,0.003301012,1
21.7,20.625,481.5,111,830.75,0.003305039,1
21.7,20.5,479,128,831,0.003284903,1
21.7225,20.6,479,59,826,0.003305579,1
21.76,20.53333333,490.6666667,127,818.3333333,0.003302425,1
21.7225,20.525,502.75,140,815.75,0.003293481,1
21.7225,20.5,490.25,417,816,0.003289448,0
